MUSTERI_ARIZA	ALTYAPI	SANTRAL_MESAFESI	ATTENUATION_DOWN	NOISE_MARGIN_UP	HIZMET_KALITESI
1	2	343	7	25	1
0	2	185	9	18	1
0	1	759	17	20	0,75
0	2	150	11	22	1
0	1	844	17	11	1
0	1	859	17	12	0,792
0	2	70	8	13	1
0	1	772	16	20	0,75
0	2	309	16	8	0,999
0	1	642	14	17	0,849
0	1	355	13	19	1
0	2	461	12	19	0,5
0	1	389	11	21	1
0	2	154	5	15	1
0	1	984	21	18	0,75
0	1	726	22	8	0,786
0	1	265	17	8	0,346
0	1	858	19	8	1
0	2	92	9	22	1
0	2	352	27	8	0,692
0	1	1145	21	13	0,876
0	2	732	15	17	1
0	1	423	13	13	1
1	2	843	17	9	0,376
0	2	124	12	9	0,9
0	1	364	19	10	1
0	1	511	25	13	1
0	2	228	11	30	1
0	2	205	16	18	0,788
0	1	687	14	12	1
0	2	126	7	27	1
0	2	228	6	26	1
0	1	938	16	11	1
0	2	1232	15	8	1
0	2	105	4	23	1
0	2	264	24	17	1
0	2	190	6	12	0,898
0	2	556	28	5	1
0	2	530	14	12	1
0	2	1284	25	8	0,25
0	2	584	16	8	1
0	2	369	12	19	1
0	2	112	9	18	1
0	1	364	18	7	0,758
0	1	304	6	12	1
0	2	85	19	10	0,944
0	2	521	11	16	1
0	1	79	3	18	0,75
1	2	586	12	18	1
0	2	351	11	13	1
0	1	1218	20	7	1
0	2	788	15	19	0,75
1	2	74	13	14	1
0	2	287	8	27	1
0	3	5	4	29	1
0	2	523	14	14	1
0	2	396	10	28	1
0	2	136	8	20	1
0	1	549	8	14	1
0	2	45	6	20	1
0	1	874	16	20	0,996
0	1	1089	19	14	1
0	2	96	5	21	1
0	1	261	11	22	1
0	1	428	19	9	0,989
0	1	1030	28	11	0,772
0	1	467	13	14	1
0	2	25	20	13	0,5
0	2	894	24	9	1
0	1	745	14	6	1
0	2	145	9	19	0,849
0	2	1341	7	15	1
0	2	900	21	8	1
0	2	200	6	18	0,997
0	2	159	15	28	1
0	2	123	6	11	0,919
0	1	469	26	8	0,779
0	2	123	7	22	1
0	2	226	2	30	1
0	2	178	8	11	1
0	1	212	1	15	1
0	1	871	17	12	0,87
0	2	196	9	25	1
1	1	1987	26	8	0,539
0	1	1124	19	17	0,269
0	1	266	10	22	1
0	2	348	17	8	1
0	2	305	18	7	1
0	1	627	21	6	1
0	3	25	1	32	1
0	2	434	8	11	0,92
0	2	352	17	7	0,742
0	1	815	21	13	1
0	2	539	12	16	1
0	3	5	14	15	0,946
0	2	1140	22	11	0,833
0	2	507	14	10	1
0	2	375	8	30	1
0	1	912	21	13	1
0	2	523	14	8	1
0	1	1171	19	12	1
0	2	645	22	8	1
0	2	267	19	10	1
0	2	389	12	22	1
0	1	981	22	12	0,988
0	2	287	6	27	1
0	2	476	23	9	0,75
0	2	236	5	25	0,788
0	2	29	1	30	1
0	1	497	36	8	0,837
0	2	566	17	7	0,795
0	1	1173	19	20	0,75
0	2	60	3	15	1
0	3	30	6	21	1
0	1	1043	23	20	1
0	1	1268	24	9	1
0	2	429	11	17	1
0	1	304	3	21	1
0	2	143	6	26	1
0	2	130	8	23	0,999
0	2	195	22	16	0,481
0	1	1481	27	18	0,75
0	1	828	19	8	0,835
0	2	116	8	23	0,838
0	1	947	22	17	0,75
0	3	5	6	22	1
0	1	1247	20	15	0,603
0	2	274	19	7	0,979
0	2	575	28	8	0,204
0	1	308	17	23	1
0	1	963	20	8	0,425
0	2	352	20	29	1
0	1	812	22	8	0,73
0	2	691	23	7	0,75
0	2	130	7	10	0,752
0	2	186	13	12	1
0	2	778	14	18	0,875
0	1	1194	21	15	0,906
0	1	593	16	10	0,662
0	1	642	12	8	0,5
0	1	1094	24	11	0,809
0	2	368	9	18	1
0	2	280	8	30	1
0	1	1115	23	11	1
0	2	566	22	7	1
0	1	949	18	13	0,786
0	2	137	14	9	0,697
0	2	380	17	9	0,144
0	2	472	6	18	0,789
0	2	339	14	12	1
0	2	233	5	28	1
0	1	1247	38	10	0,449
0	2	312	17	16	1
0	1	710	13	17	0,8
0	1	1056	20	9	0,643
0	2	181	5	27	1
0	1	1143	22	16	0,75
0	2	588	10	21	1
0	2	214	7	24	1
0	2	567	8	17	1
0	1	1014	25	8	0,875
0	1	1371	30	9	0,241
0	2	529	16	16	1
0	2	541	25	8	0,999
0	1	961	16	12	1
0	2	306	9	23	1
0	2	182	8	21	1
0	1	1043	21	12	1
0	3	5	2	34	1
0	1	936	27	9	0,612
0	2	614	12	18	0,75
0	2	362	19	9	0,45
0	1	520	13	21	1
0	2	118	6	30	1
0	2	427	8	18	1
0	2	58	8	10	0,747
0	2	286	8	10	1
0	1	1147	22	13	0,875
0	2	575	15	13	0,75
0	2	559	17	14	1
0	2	948	20	10	1
0	1	507	7	12	1
0	1	1284	24	10	0,896
0	2	1155	11	15	0,499
0	2	317	6	8	1
0	2	218	14	9	0,866
0	1	822	22	8	1
0	1	1484	30	17	1
0	1	1201	24	8	0,513
0	3	5	7	30	1
0	1	818	22	20	0,948
0	1	1393	28	8	0,99
1	2	213	21	8	1
